uniqueID	Word	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
french horn	french horn																		1																																			
frisbee	frisbee																						1		1																													
frog	frog	1																																																				
fruit	fruit										1	1																																										
fruitcake	fruitcake							1			1																																											
fudge	fudge							1			1																		1																									
fungus	fungus																																																					
funnel	funnel																1							1																1														
fur coat	fur coat				1																																																1	
furnace	furnace																																																					
fuse	fuse																																																					
gallows	gallows																																																					
game	game																																																		1			
garbage	garbage																																																					
garbage truck	garbage truck																										1																											
gargoyle	gargoyle																																																					
garlic	garlic										1															1																												
garter	garter				1																																																	1
gas mask	gas mask																																													1								
gasket	gasket																				1												1																					
gate	gate																																																					
gauge	gauge																																							1														
gauze	gauze																	1																																				
gavel	gavel																							1																														
gazelle	gazelle	1																													1																							
gear	gear																													1																								
gearshift	gearshift																				1																																	
gel	gel																																																					
gem	gem																																																					
generator	generator									1																																												
gift	gift																																																					
ginger	ginger										1																									1																		
gingerbread man	gingerbread man										1																																											
giraffe	giraffe	1																													1																							
girl	girl																																																					
glass	glass						1																																															
glasses	glasses					1																																																
globe	globe													1																																								
glove	glove				1	1																																											1				1	
glue	glue																			1																					1						1							
go-kart	go-kart																										1																											
goalpost	goalpost																																																					
goat	goat	1									1																				1																					1		
goblet	goblet						1																																															
goggles	goggles																						1																															
gold	gold																																																					
goldfish	goldfish	1																																																				
golf cart	golf cart																										1																											
golf club	golf club																						1																															
gondola	gondola																										1								1																			
gong	gong																		1																																			
goose	goose	1	1								1																																									1		
gopher	gopher	1																													1																							
gorilla	gorilla	1																													1																							
gourd	gourd													1												1																												
graffiti	graffiti																																																					
grain	grain										1																																											
gramophone	gramophone																																																					
granite	granite																																																					
granola	granola										1																																	1										
grape	grape										1	1																																										
grapefruit	grapefruit										1	1																																										
grapevine	grapevine																					1																																
grass	grass																					1																																
grasshopper	grasshopper	1													1																																							
grate	grate																																																					
grater	grater																1							1																														
gravel	gravel																																																					
gravestone	gravestone																																																					
gravy	gravy										1																									1																		
green beans	green beans										1															1																												
grenade	grenade																											1																										
grill	grill																																																					
grille	grille																				1																																	
grinder	grinder																1							1																														
grits	grits										1																																	1										
groundhog	groundhog	1																													1																							
